ID_REF,GSM1583224,GSM1583225,GSM1583226,GSM1583227,GSM1583228,GSM1583229,GSM1583230,GSM1583231,GSM1583232,GSM1583233,GSM1583234,GSM1583235,GSM1583236
1,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.341437581,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427
2,3.060566279,3.306234915,3.071653954,3.740067879,3.220892391,3.198542439,3.401202682,3.374976555,3.189990512,3.377391925,3.197648385,3.311577005,4.07788929
3,3.454782389,3.027943406,5.294475112,3.098558787,3.454782389,3.863474742,3.454782389,4.175191835,3.454782389,4.199666682,3.454782389,3.737774411,4.422976501
9,8.905882398,8.789609348,8.435984935,8.607952772,8.087516749,8.62119093,8.951163535,8.693556242,8.76056378,9.014266299,8.628728015,8.297942385,8.675603813
10,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427
12,2.302335427,2.302335427,2.302335427,4.220577688,2.302335427,3.275907443,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.324406074
13,2.912072385,2.370427555,2.306072938,3.416352466,2.442141405,2.451014649,2.534916624,3.166728309,5.906111003,2.696418107,2.442141405,2.451014649,2.373700909
14,2.966087787,2.966988706,2.986582099,2.966087787,2.966087787,2.966087787,3.018538551,2.952496884,2.966087787,2.966087787,3.08402668,2.966087787,2.975240691
15,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427
16,7.512442686,7.619421789,8.292953109,7.634834688,8.216397839,7.750132435,7.942383476,7.630191901,7.721698948,7.953763208,7.927885493,7.808175616,7.943190437
18,5.435803133,5.589220322,5.930572473,6.739218492,5.103276561,5.367407101,5.944673804,5.516190416,6.140010217,5.976232898,6.086294782,5.184704512,5.778709303
19,2.714645277,2.597142894,2.82480761,3.014453687,2.611703779,2.955442725,3.584163802,3.143066691,3.072018743,2.842493291,2.733509248,2.738951813,3.250407331
20,2.332820098,2.33822003,2.429897192,2.338907682,2.336995141,2.332820098,2.368371594,2.332820098,2.332820098,2.332820098,2.3493299,2.332820098,2.332820098
21,2.647595526,2.647709713,2.647595526,2.647595526,2.60395685,2.644207928,2.677268842,2.647595526,2.534564511,2.636781145,2.647595526,2.647595526,2.636781145
22,7.36319219,6.552575655,7.375159411,7.108107422,7.479134023,6.957237884,6.858772467,6.831628065,7.412031734,7.311510565,7.122274425,6.988181179,6.901195896
23,6.591557822,6.837297712,6.989628013,7.470240954,7.3869123,7.767964801,7.81440694,6.627091464,6.866219984,7.189212383,7.771147926,6.664772904,7.230605619
24,2.43871371,2.322287683,2.996539973,2.322287683,2.322287683,2.346653504,2.322287683,2.322287683,2.322287683,2.322287683,2.322287683,2.373726127,2.322287683
25,3.810524906,2.568342438,3.438241745,3.495819146,3.635876828,4.091248614,4.281603351,2.990045596,3.274714485,3.46696116,3.506136679,3.429791506,3.832106437
26,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.608673237,2.302335427,2.302335427
27,4.902334179,4.629311539,4.287861736,4.450504929,4.559885532,4.631715666,5.523714965,4.259782122,4.192602574,5.197264402,4.72465554,4.446711607,5.223268879
28,6.259352209,5.792213249,6.548211641,6.564353849,5.603914562,5.605926753,6.193069699,6.218815429,6.663855948,5.411589194,5.427725799,4.948004975,5.771163428
29,4.081214778,4.239773469,4.958288347,4.311515686,4.239773469,4.199602282,4.460838474,4.291974579,4.31615106,4.281851571,4.447520977,4.253894096,4.311151066
30,6.16118221,6.270049569,6.493013527,6.481278405,6.513191225,6.32587749,6.291188804,6.367917736,6.586247455,6.795517324,6.642660244,6.678348821,6.841004537
31,6.019199112,5.083343747,5.526586113,6.068453102,6.046714684,6.074018645,5.688451485,5.493345082,5.312958245,5.403087013,5.720095903,5.317008526,5.188217671
32,5.243139741,5.39466795,5.796209745,5.228991978,5.052302038,5.08218912,5.183760814,5.33561604,5.026843425,4.852773513,4.463567569,4.786498158,4.933389325
33,3.043955277,2.953888912,3.34378903,3.000935405,3.944015675,2.899162003,3.467410931,3.15052687,3.319095444,3.179096829,3.274516052,3.321983342,3.211550337
34,5.165834748,4.429404313,5.535414182,4.343882358,5.133041634,4.551005217,4.148944196,5.659973864,5.26181061,5.097089191,5.158787786,4.962466272,4.842933683
35,3.566987077,3.566987077,3.634188171,3.693095057,3.566987077,3.73080373,3.566987077,3.566987077,3.596115345,3.566987077,3.566987077,3.566987077,3.566987077
36,3.376371027,3.398763199,3.212003858,3.362048468,3.619780837,3.373223287,3.371820705,3.445388192,3.307552766,3.377136386,3.362048468,3.375733804,3.769112479
37,7.839651927,7.448169437,7.588193637,8.01207405,7.596073427,7.648489972,8.050595877,7.345424363,7.985429663,7.920729567,8.481675495,7.547967379,7.977170633
38,5.059259191,4.977561056,4.837990536,5.011219734,5.02378402,5.174322155,4.62102777,4.980545725,4.778542846,5.315394456,5.023577062,4.870241112,5.192045782
39,7.897204835,6.476601953,5.916640961,7.303542606,7.254525008,6.255222785,6.984580414,6.621641818,6.906759008,7.423368523,6.627161067,6.909226837,5.824806193
40,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427,2.302335427
41,3.534132649,3.56769869,4.891445313,3.44735954,3.529152858,3.585742987,3.441238269,3.458102479,3.73585508,3.529152858,3.526456594,3.611784163,3.460674753
43,2.334353135,2.334353135,2.38102848,2.340340327,2.334353135,2.339248602,2.334353135,2.334353135,2.334353135,2.327171885,2.34676098,2.334353135,2.334353135
47,7.80207071,7.831732138,7.84952295,8.266741257,7.74300254,8.161879707,8.204249598,7.528918376,7.85733376,8.274643754,8.409808176,8.065483047,8.198564795
48,3.417285672,2.862843079,4.010163343,3.406160561,3.233209202,3.842779619,3.507412795,3.467444223,3.897905997,3.433829763,3.387278262,4.837899954,3.697376964
