ID_REF,GSM1541999,GSM1542000,GSM1542001,GSM1542002,GSM1542003,GSM1542004,GSM1542005,GSM1542006,GSM1542007,GSM1542008,GSM1542009,GSM1542010,GSM1542011,GSM1542012,GSM1542013,GSM1542014,GSM1542015,GSM1542016,GSM1542017,GSM1542018,GSM1542019,GSM1542020,GSM1542021,GSM1542022,GSM1542023,GSM1542024,GSM1542025
1,6.9395,7.0445,6.5835,7.3465,7.06,6.9075,6.8635,6.923,7.038,6.629,6.522,7.512,6.98,6.8175,7.3055,6.953,7.261,6.9415,6.5175,6.779,7.1735,7.263,6.989,7.03,7.001,6.9095,7.1485
2,7.869,8.54,8.156,11.83,9.851,9.256,10.2,7.987,9.183,9.967,9.559,9.906,8.797,10.11,9.651,8.919,9.707,9.221,9.449,8.712,8.717,8.76,9.878,9.686,8.453,9.007,9.443
9,11.48,11.82,11.23,10.7,11.29,10.59,11.38,11.3,11.04,11.24,11.26,11.16,11.28,11.33,11.55,11.24,11.23,11.3,11.69,11.5,11.47,11.45,11.41,11.48,11.32,11.33,11.43
10,7.639,8.268,7.807,7.147,7.222,7.166,8.259,7.599,7.385,7.89,7.75,7.481,7.875,7.931,8.234,7.882,7.961,7.716,8.253,8.023,8.03,8.061,8.009,7.935,8.102,7.98,8.059
12,6.909,7.103,6.8035,7.2005,6.58,7.1795,7.239,8.1345,7.1685,7.3965,6.328,6.687,8.0765,6.781,7.578,7.3265,7.931,6.7995,6.283,6.2835,6.5575,6.9155,7.1235,7.0705,6.9305,6.9405,6.993
13,8.019,7.848,7.912,8.011,7.419,8.161,7.724,8.915,8.519,7.255,8.064,7.867,8.559,8.108,7.11,7.671,7.794,6.786,7.656,7.399,7.895,8.038,7.681,8.777,8.299,8.29,7.516
14,10.1,10.35,10.54,10.24,10.21,10.27,10.2,10.5,10.22,10.29,10.25,10.14,10.19,10.14,9.971,10.65,10.06,10.14,10.01,10.46,10.13,10.42,10.52,10.24,10.39,10.05,10.53
15,7.377,7.894,8.016,7.476,7.625,7.718,7.811,8.087,7.301,9.105,8.779,7.758,7.839,7.894,8.158,8.067,7.925,7.869,7.645,7.549,7.551,8.024,7.899,7.719,7.975,7.751,7.879
16,9.058,9.314,8.985,8.666,8.671,8.837,8.564,8.809,8.552,8.834,9.15,8.629,8.697,8.666,8.604,9.086,8.723,8.748,8.671,9.083,8.549,8.82,9.055,9.007,8.987,8.775,9.052
18,9.11,9.0745,8.917,8.8035,9,8.736,9.717,8.9755,9.4105,9.056,9.476,9.7275,8.991,8.9875,9.4025,8.728,10.052,9.337,9.0375,8.732,8.8805,9.1135,9.001,9.225,9.345,9.1805,9.214
19,6.721666667,6.515333333,6.721333333,7.261333333,6.842,6.683666667,6.778666667,6.742333333,6.643333333,6.829333333,6.83,6.469,6.582,6.774,6.741333333,6.748333333,6.563333333,6.423666667,6.503666667,6.742666667,6.594666667,6.71,6.683333333,6.658,6.468,6.795333333,6.763333333
20,7.144,7.751,7.625,7.053,7.525,7.538,7.736,7.402,8.104,7.54,7.292,7.4,7.648,7.605,7.585,8.059,7.401,7.438,7.62,7.647,7.284,7.561,7.643,7.301,7.865,7.515,7.59
21,8.113,8.072,8.507,8.882,8.214,8.226,8.287,8.21,8.407,8.338,8.437,8.365,8.06,8.225,8.235,8.075,8.257,8.401,8.217,8.045,7.848,8.488,8.024,8.038,8.275,7.828,8.148
22,8.66,8.671,8.442,8.617,9.017,8.961,8.578,8.435,8.843,8.488,8.583,8.729,8.581,8.768,8.779,8.611,9.053,8.674,8.925,8.708,9.153,8.873,8.784,8.631,8.761,9.026,8.849
23,10.37,10.13,10.35,9.96,10.09,10.08,10.09,10.14,10.08,10.25,10.47,10.02,10.18,10.07,10.03,10.41,10.2,10.21,9.867,10.16,10.34,10.24,10.34,10.44,10.26,10.31,10.33
24,7.757,7.353,7.393,7.029,7.622,7.666,7.575,7.587,7.443,7.234,7.434,7.536,7.464,7.544,7.418,7.532,7.701,7.505,7.278,7.463,7.466,7.33,7.6,7.278,7.622,7.249,7.552
25,7.4694,7.1312,7.2918,7.2926,7.3926,7.584,7.2158,7.329,7.6716,7.3174,7.3092,7.6132,7.2732,7.3288,7.3092,7.2296,7.2846,7.3502,7.2576,7.196,7.3314,7.3306,7.25,7.2794,7.1684,7.2138,7.2548
26,6.713,6.845,6.911,6.419,6.161,6.805,6.423,6.5,7.015,6.793,6.547,6.102,6.482,6.285,6.405,6.633,6.342,6.357,6.358,6.44,6.502,6.709,6.767,6.666,6.798,6.813,6.738
27,7.669,7.516333333,7.463333333,7.400666667,7.3,7.441666667,7.511666667,7.472333333,7.392333333,7.336666667,7.557333333,7.53,7.411333333,7.356,7.309,7.331,7.56,7.461,7.566,7.460333333,7.571666667,7.420666667,7.227,7.388333333,7.133,7.426666667,7.438666667
28,6.597,6.588,6.523,6.116,6.717,6.54,6.775,6.158,6.081,6.485,6.495,6.021,6.148,6.215,6.703,6.317,6.805,6.178,6.358,6.071,6.75,6.439,6.687,6.575,6.453,6.668,6.681
29,12.44,12.37,11.65,12.68,12.12,12.11,11.75,11.98,12.1,11.85,12.05,12.14,11.9,11.88,12,12.01,12.19,12.33,11.9,12.31,11.89,12.19,12.18,12.53,11.94,12.48,12.2
30,9.9965,10.1315,9.819,10.551,10.167,10.193,9.9135,9.8625,9.733,10.204,10.025,9.9225,10.1515,10.1,10.039,10.532,10.079,10.293,10.257,10.448,10.1295,9.878,10.186,10.1525,10.0945,9.9075,10.161
31,7.371,7.565,7.0385,7.011,7.204,9.603,7.11,7.219,7.34,7.3295,7.267,7.528,7.253,7.2675,7.145,7.508,7.1075,7.102,7.1815,7.306,7.0815,7.405,7.313,7.3135,7.486,7.4515,7.383
32,6.476,6.383,6.325,6.161,6.347,6.107,5.907,6.224,6.355,6.019,5.906,6.366,5.934,6.14,5.954,6.144,6.162,6.273,5.98,6.545,6.368,5.94,6.103,6.465,6.145,6.282,5.876
33,6.756,6.408,6.508,6.483,6.125,6.443,6.739,6.374,6.549,6.498,6.798,6.487,6.749,6.836,6.421,6.345,6.5,6.715,6.546,6.443,6.561,6.689,6.343,6.579,6.307,6.307,6.349
34,10.06,10.36,10,10.41,10.78,10.62,10.47,10.08,9.951,10.71,10.7,10.67,10.52,10.39,10.68,10.06,10.27,10.49,10.97,10.14,11.07,10.66,10.45,10.05,10.16,9.801,10.27
35,7.26,7.423,7.37,7.536,7.24,7.35,6.997,7.188,7.462,7.299,7.401,7.331,7.355,7.362,7.788,7.587,7.362,7.483,7.59,7.504,7.041,7.444,7.559,7.345,7.496,7.38,7.366
